dataset_name,hash_strategy,n,load_factor,m,iterations,insert_time_mean,insert_time_std,search_time_mean,search_time_std,max_chain_length_mean,max_chain_length_std,collision_count_mean,collision_count_std
near_duplicate,fixed,5000,0.5,10000,40,851.7485,0.0,899.187,0.0,1,0.0,0,0.0
near_duplicate,universal,5000,0.5,10000,40,843.2735,0.0,919.649,0.0,1,0.0,0,0.0
near_duplicate,fixed,5000,0.5,10000,50,779.3436,0.0,711.3744,0.0,1,0.0,0,0.0
near_duplicate,universal,5000,0.5,10000,50,882.8924,0.0,940.1432,0.0,1,0.0,0,0.0
uniform,fixed,5000,0.75,6667,10,685.202,0.0,730.352,0.0,5,0.0,1232,0.0
uniform,universal,5000,0.75,6667,10,788.062,0.0,857.148,0.0,5,0.0,1273,0.0
uniform,fixed,5000,0.75,6667,20,839.394,0.0,916.348,0.0,5,0.0,1232,0.0
uniform,universal,5000,0.75,6667,20,971.142,0.0,790.783,0.0,5,0.0,1273,0.0
uniform,fixed,5000,0.75,6667,30,888.954,0.0,893.9313333333333,0.0,5,0.0,1232,0.0
uniform,universal,5000,0.75,6667,30,954.2353333333333,0.0,741.8973333333333,0.0,5,0.0,1273,0.0
uniform,fixed,5000,0.75,6667,40,795.811,0.0,1085.3095,0.0,5,0.0,1232,0.0
uniform,universal,5000,0.75,6667,40,1010.191,0.0,1032.936,0.0,5,0.0,1273,0.0
uniform,fixed,5000,0.75,6667,50,787.9488,0.0,904.3288,0.0,5,0.0,1232,0.0
uniform,universal,5000,0.75,6667,50,1009.4024,0.0,820.4964,0.0,5,0.0,1273,0.0
sorted,fixed,5000,0.75,6667,10,882.33,0.0,654.75,0.0,1,0.0,0,0.0
sorted,universal,5000,0.75,6667,10,754.3,0.0,853.024,0.0,2,0.0,1341,0.0
sorted,fixed,5000,0.75,6667,20,668.1,0.0,859.769,0.0,1,0.0,0,0.0
sorted,universal,5000,0.75,6667,20,990.328,0.0,850.33,0.0,2,0.0,1341,0.0
sorted,fixed,5000,0.75,6667,30,771.8726666666666,0.0,762.382,0.0,1,0.0,0,0.0
sorted,universal,5000,0.75,6667,30,763.6873333333333,0.0,818.4613333333333,0.0,2,0.0,1341,0.0
sorted,fixed,5000,0.75,6667,40,790.2095,0.0,745.9885,0.0,1,0.0,0,0.0
sorted,universal,5000,0.75,6667,40,815.427,0.0,1090.241,0.0,2,0.0,1341,0.0
sorted,fixed,5000,0.75,6667,50,827.9476,0.0,955.7604,0.0,1,0.0,0,0.0
sorted,universal,5000,0.75,6667,50,1020.7228,0.0,1114.1908,0.0,2,0.0,1341,0.0
adversarial,fixed,5000,0.75,6667,10,29526.964,0.0,42309.178,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,0.75,6667,10,1421.754,0.0,1656.112,0.0,2,0.0,955,0.0
adversarial,fixed,5000,0.75,6667,20,42730.155,0.0,54367.448,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,0.75,6667,20,1414.636,0.0,1175.0,0.0,2,0.0,955,0.0
adversarial,fixed,5000,0.75,6667,30,40997.97666666667,0.0,41655.19,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,0.75,6667,30,1155.6013333333333,0.0,1514.644,0.0,2,0.0,955,0.0
adversarial,fixed,5000,0.75,6667,40,37457.0145,0.0,50781.2515,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,0.75,6667,40,1071.986,0.0,952.6415,0.0,2,0.0,955,0.0
adversarial,fixed,5000,0.75,6667,50,40087.8556,0.0,37324.362,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,0.75,6667,50,1255.8724,0.0,1521.4632,0.0,2,0.0,955,0.0
near_duplicate,fixed,5000,0.75,6667,10,852.558,0.0,1173.968,0.0,1,0.0,0,0.0
near_duplicate,universal,5000,0.75,6667,10,1089.714,0.0,1045.646,0.0,1,0.0,0,0.0
near_duplicate,fixed,5000,0.75,6667,20,771.372,0.0,877.679,0.0,1,0.0,0,0.0
near_duplicate,universal,5000,0.75,6667,20,916.566,0.0,952.677,0.0,1,0.0,0,0.0
near_duplicate,fixed,5000,0.75,6667,30,794.45,0.0,1080.5006666666666,0.0,1,0.0,0,0.0
near_duplicate,universal,5000,0.75,6667,30,1162.7733333333333,0.0,1179.8873333333333,0.0,1,0.0,0,0.0
near_duplicate,fixed,5000,0.75,6667,40,767.8125,0.0,968.064,0.0,1,0.0,0,0.0
near_duplicate,universal,5000,0.75,6667,40,951.1245,0.0,961.6145,0.0,1,0.0,0,0.0
near_duplicate,fixed,5000,0.75,6667,50,891.166,0.0,808.958,0.0,1,0.0,0,0.0
near_duplicate,universal,5000,0.75,6667,50,842.3644,0.0,1011.9252,0.0,1,0.0,0,0.0
uniform,fixed,5000,1.0,5000,10,751.47,0.0,710.866,0.0,6,0.0,1638,0.0
uniform,universal,5000,1.0,5000,10,892.346,0.0,925.444,0.0,5,0.0,1592,0.0
uniform,fixed,5000,1.0,5000,20,843.426,0.0,806.423,0.0,6,0.0,1638,0.0
uniform,universal,5000,1.0,5000,20,1072.071,0.0,1177.452,0.0,5,0.0,1592,0.0
uniform,fixed,5000,1.0,5000,30,1195.1833333333334,0.0,891.602,0.0,6,0.0,1638,0.0
uniform,universal,5000,1.0,5000,30,1082.574,0.0,1165.686,0.0,5,0.0,1592,0.0
