method,distribution,n,m,load_factor,num_hash_functions,insert_time_total_mean,insert_time_total_median,insert_time_total_std,insert_time_per_op_mean,insert_time_per_op_median,insert_time_per_op_std,search_time_total_mean,search_time_total_median,search_time_total_std,search_time_per_op_mean,search_time_per_op_median,search_time_per_op_std,search_comparisons_total_mean,search_comparisons_total_median,search_comparisons_total_std,search_comparisons_avg_mean,search_comparisons_avg_median,search_comparisons_avg_std,max_chain_length_mean,max_chain_length_median,max_chain_length_std,average_chain_length_mean,average_chain_length_median,average_chain_length_std,non_empty_buckets_mean,non_empty_buckets_median,non_empty_buckets_std,empty_buckets_mean,empty_buckets_median,empty_buckets_std,chain_length_stdev_mean,chain_length_stdev_median,chain_length_stdev_std,collision_count_mean,collision_count_median,collision_count_std,unique_keys_mean,unique_keys_median,unique_keys_std
fixed,near_duplicate,10000,5000,2.0,1,0.0067734625001321545,0.0067748954988928745,3.2455602872221613e-05,6.773462500132154e-07,6.774895498892875e-07,3.245560287222169e-09,0.003382729233392941,0.0033410209998692153,0.0002094329312611382,6.765458466785882e-07,6.682041999738431e-07,4.188658625222766e-08,5000.0,5000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.19999333333333336,0.2,3.6514837167017997e-05,999.9666666666667,1000.0,0.1825741858350653,4000.0333333333333,4000.0,0.18257418583515034,0.39999499739485617,0.4,2.7400396835784748e-05,0.0,0.0,0.0,999.9666666666667,1000.0,0.1825741858350653
fixed,near_duplicate,10000,10000,1.0,1,0.006827054133342851,0.006812291499954881,0.00011845956055042049,6.82705413334285e-07,6.812291499954881e-07,1.1845956055042019e-08,0.0033962832332084265,0.0033571874992048834,0.00014806413369041632,6.792566466416853e-07,6.714374998409767e-07,2.961282673808328e-08,5000.0,5000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.09999666666666668,0.1,1.8257418583508998e-05,999.9666666666667,1000.0,0.1825741858350653,9000.033333333333,9000.0,0.18257418583528168,0.2999955540116594,0.3,2.4351681045611864e-05,0.0,0.0,0.0,999.9666666666667,1000.0,0.1825741858350653
fixed,near_duplicate,10000,13334,0.75,1,0.006803397233064364,0.0067928125008620555,5.803693704540299e-05,6.803397233064364e-07,6.792812500862056e-07,5.803693704540263e-09,0.003388483299931977,0.003345936998812249,0.0001259117157445801,6.776966599863953e-07,6.691873997624497e-07,2.5182343148915976e-08,5000.0,5000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.07499375031248437,0.07499625018749062,1.3692379318663036e-05,999.9666666666667,1000.0,0.1825741858350653,12334.033333333333,12334.0,0.18257418583528168,0.2633812580141856,0.2633852931454335,2.2101324069670124e-05,0.0,0.0,0.0,999.9666666666667,1000.0,0.1825741858350653
fixed,near_duplicate,10000,20000,0.5,1,0.006775193133338083,0.006770021000193083,2.6263268464045007e-05,6.775193133338083e-07,6.770021000193084e-07,2.6263268464045013e-09,0.0033576348332038227,0.0033573334985703696,5.090240483418464e-05,6.715269666407646e-07,6.714666997140739e-07,1.0180480966836933e-08,5000.0,5000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.04999833333333334,0.05,9.128709291754499e-06,999.9666666666667,1000.0,0.1825741858350653,19000.033333333333,19000.0,0.1825741858346351,0.21794150493433934,0.21794494717703367,1.885393972096855e-05,0.0,0.0,0.0,999.9666666666667,1000.0,0.1825741858350653
fixed,sorted,1000,500,2.0,1,0.0012830916662399734,0.0012811039996449836,1.1988508714830809e-05,1.2830916662399736e-06,1.2811039996449835e-06,1.1988508714830809e-08,0.00035708469986275306,0.00035637499968288466,5.22437717668082e-06,7.141693997255061e-07,7.127499993657693e-07,1.0448754353361619e-08,755.3,755.5,11.350679760899007,1.5106,1.5110000000000001,0.02270135952179809,2.0,2.0,0.0,2.0,2.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,1000.0,1000.0,0.0
fixed,sorted,1000,1000,1.0,1,0.0012927819003380136,0.0012830209998355713,3.419297928532323e-05,1.2927819003380137e-06,1.2830209998355712e-06,3.4192979285323204e-08,0.00032985696670948526,0.00032949999877018854,3.5716747574087072e-06,6.597139334189705e-07,6.58999997540377e-07,7.143349514817415e-09,500.0,500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0
fixed,sorted,1000,1334,0.75,1,0.0029920834002647705,0.0013830004991177702,0.0042355200152731955,2.9920834002647707e-06,1.3830004991177701e-06,4.235520015273195e-06,0.000700562566392667,0.00035460450089885853,0.0007825320347644973,1.401125132785334e-06,7.092090017977171e-07,1.565064069528995e-06,500.0,500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7496251874062968,0.7496251874062968,0.0,1000.0,1000.0,0.0,334.0,334.0,0.0,0.43322888386206565,0.43322888386206565,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0
fixed,sorted,1000,2000,0.5,1,0.0012946734659635695,0.0012942499979544664,1.2388316956584977e-05,1.2946734659635695e-06,1.2942499979544664e-06,1.2388316956584987e-08,0.0003319527667675478,0.0003315619997010799,3.444386283005969e-06,6.639055335350956e-07,6.631239994021598e-07,6.888772566011935e-09,500.0,500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0
fixed,sorted,5000,2500,2.0,1,0.006542265299746456,0.006532645998959197,9.466292258007551e-05,1.3084530599492911e-06,1.3065291997918393e-06,1.8932584516015054e-08,0.0018912291666007756,0.0018631249986356124,0.00010814627061701303,7.564916666403102e-07,7.45249999454245e-07,4.3258508246805204e-08,3753.7,3750.0,21.48961256690913,1.5014800000000001,1.5,0.00859584502676367,2.0,2.0,0.0,2.0,2.0,0.0,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,0.0,5000.0,5000.0,0.0
fixed,sorted,5000,5000,1.0,1,0.006769458300307936,0.006496958500065375,0.0014387404791678586,1.3538916600615872e-06,1.299391700013075e-06,2.877480958335718e-07,0.001803511100054796,0.0017097915006161202,0.0002855033493980228,7.214044400219185e-07,6.83916600246448e-07,1.1420133975920911e-07,2500.0,2500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0
