method,distribution,n,m,load_factor,num_hash_functions,trial,insert_time_total,insert_time_per_op,search_time_total,search_time_per_op,search_comparisons_total,search_comparisons_avg,max_chain_length,average_chain_length,non_empty_buckets,empty_buckets,chain_length_stdev,collision_count,unique_keys,p,coefficients
fixed,uniform,1000,2000,0.5,1,16,0.0012382919994706754,1.2382919994706754e-06,0.0003358750000188593,6.717500000377186e-07,591,1.182,4,0.47,784,1216,0.6496922348312315,156,940,,
universal,uniform,1000,2000,0.5,3,16,0.002479458002198953,2.4794580021989533e-06,0.0009004589992400724,1.800917998480145e-06,873,1.746,4,0.47,751,1249,0.683447144993671,189,940,2.305843009213694e+18,"[[454612962106966139, 1702438209959121919], [2265420330264173236, 463866247378689703], [443667755326800348, 934787930118675060]]"
fixed,uniform,1000,2000,0.5,1,17,0.0012504580008680932,1.2504580008680932e-06,0.00033091600198531523,6.618320039706305e-07,591,1.182,4,0.4765,796,1204,0.6461019656370037,157,953,,
universal,uniform,1000,2000,0.5,3,17,0.002471083000273211,2.471083000273211e-06,0.0008911660006560851,1.7823320013121702e-06,875,1.75,5,0.4765,753,1247,0.6880753955781299,200,953,2.305843009213694e+18,"[[195095767942445094, 1500048066919629750], [1059562453095694534, 313986444720046481], [691564608163384468, 53651072377497930]]"
fixed,uniform,1000,2000,0.5,1,18,0.0012387499991746154,1.2387499991746153e-06,0.0003349590006109793,6.699180012219585e-07,592,1.184,4,0.4765,797,1203,0.6514965464221587,156,953,,
universal,uniform,1000,2000,0.5,3,18,0.0024703750023036264,2.4703750023036264e-06,0.0009224159985024016,1.8448319970048033e-06,877,1.754,6,0.4765,726,1274,0.7385443453171922,227,953,2.305843009213694e+18,"[[653524007492807808, 355415340864572460], [529539352426941228, 1114891161808553618], [2041277660056489008, 2248875904457507991]]"
fixed,uniform,1000,2000,0.5,1,19,0.0012397089994919952,1.2397089994919952e-06,0.00033254099980695173,6.650819996139035e-07,616,1.232,3,0.474,781,1219,0.6590326243821318,167,948,,
universal,uniform,1000,2000,0.5,3,19,0.002451374999509426,2.451374999509426e-06,0.0008938750033848919,1.7877500067697837e-06,860,1.72,4,0.474,781,1219,0.660548257131907,167,948,2.305843009213694e+18,"[[418983635330710152, 499844581152741729], [2091481658804620576, 676363097439722673], [1853845312400714918, 63921434307813850]]"
fixed,uniform,1000,2000,0.5,1,20,0.0012378749997878913,1.2378749997878913e-06,0.0003399580018594861,6.799160037189722e-07,615,1.23,4,0.4755,787,1213,0.658331033751258,164,951,,
universal,uniform,1000,2000,0.5,3,20,0.0024869170010788366,2.4869170010788368e-06,0.000925832999200793,1.851665998401586e-06,854,1.708,4,0.4755,763,1237,0.6785276339251041,188,951,2.305843009213694e+18,"[[1326467972949138173, 150235521510768009], [1878749678761878296, 2057856258604839518], [714528426559143356, 1546845777023972402]]"
fixed,uniform,1000,2000,0.5,1,21,0.0012554579989227932,1.2554579989227933e-06,0.00033437499951105565,6.687499990221113e-07,579,1.158,4,0.4825,796,1204,0.6593130895105905,169,965,,
universal,uniform,1000,2000,0.5,3,21,0.002507000001060078,2.5070000010600777e-06,0.000927624998439569,1.855249996879138e-06,891,1.782,4,0.4825,755,1245,0.7047650317659071,210,965,2.305843009213694e+18,"[[1024322815512585445, 2145571529822921201], [583220317473756343, 1521440433806999588], [891688296819238137, 181082232511610579]]"
